ZipDate,ATF,Adopt-A-Basket,Advocate - Other,Advocate-Personal Exemptions,Animal Facility - No Permit,Animal in a Park,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bottled Water,Bridge Condition,Broken Parking Meter,DOF Property - Update Account,DPR Internal,Dead Tree,Drinking Water,EAP Inspection - F59,Electrical,Emergency Response Team (ERT),Fire Alarm - Modification,Fire Alarm - New System,Fire Safety Director - F58,Found Property,Harboring Bees/Wasps,Hazmat Storage/Use,Homeless Encampment,Illegal Tree Damage,Indoor Sewage,Investigations and Discipline (IAD),Literature Request,Maintenance or Facility,Mold,Mosquitoes,Noise - House of Worship,Non-Emergency Police Matter,OEM Disabled Vehicle,OUTSIDE BUILDING,Open Flame Permit,Overflowing Litter Baskets,Pet Shop,Plant,Poison Ivy,Posting Advertisement,Public Toilet,Radioactive Material,Recycling Enforcement,Request Xmas Tree Collection,SAFETY,School Maintenance,Senior Center Complaint,Sidewalk Condition,Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Stalled Sites,Street Sign - Missing,Tattooing,Taxpayer Advocate Inquiry,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Vending,Violation of Park Rules,Water Conservation,Water Quality,cluster_label,training,# of active complaint types
2014-01-19_10022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
2014-01-20_10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-21_10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-21_10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-24_11419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-25_10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-25_10009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-25_10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-25_10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2014-01-25_10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
